split,ID,Speaker_ID,Gender,Speech_Class,Native_Region,Speech_Duration_seconds,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,sCXbZp08jMA,49,M,FAST,SOUTH,24.12,Engineering,6 Soil Mechanics,base,whisper_norm,gold,depth z is given by (N dash) into W by V) where Ws is equal to W by V. Unit weight of suspension after elapsing time td can be determined at depth z is (gamma z) is equal to [(gamma w) plus N dash (W by V) into (Gs minus 1) by Gs)]. From this rearranging,depth z is given by into w by v where ws is equal to w by v unit weight of suspension after elapsing time td can be determined at depth z is is equal to from this rearranging,"z is given by z is equal to n at depth z is given by n dash into w by v where w s is equal to w by v. So, unit weight of suspension after elapsing time t can be determined at depth z as gamma z is equal to gamma w in plus n dash w by v into g s minus 1 divided by g s.",z is given by z is equal to n at depth z is given by n dash into w by v where w s is equal to w by v so unit weight of suspension after elapsing time t can be determined at depth z as gamma z is equal to gamma w in plus n dash w by v into g s -one divided by g s,0.9474,0.5862,0.8148,1.7895
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,base,whisper_norm,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We'll talk about how it affects our analysis. So, as many number of processors as you need, which means it is valid for a single processor to machine of even million. Yes. Right. Right. So, one is the amount of resources. How much memory I have, how much local version or shared.",i will not say assumption but it is an abstraction we will talk about how it affects our analysis so as many number of processors as you need which means it is valid for a single processor to machine of even 1000000 yes right right so one is the amount of resources how much memory i have how much local version or shared,0.9143,0.8146,0.9,1.8
test,qBw8ZQrJeys,292,M,SLOW,SOUTH,7.01,Engineering,Level Testing,base,whisper_norm,gold,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.",that is also saw it as an input may not be a functional requirements this is a dependent in the message okay so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,stability. This will continue in the next.,stability this will continue in the next,0.9111,0.8696,0.1053,0.1556
test,whuItiXjk5s,277,M,SLOW,SOUTH,64.92,Engineering,Error Budgeting for Thermo Couple Amplifier,base,whisper_norm,gold,"can make the output goes to 0. So, this kind of adjustment has to be done. By assuming I bias current plus equal to I bias current minus, we can make error due to bias current to 0 by selecting the resistor values. Now, for example, if I have a gain 25, then I can select this R f and I call this is R",can make the output goes to 0 so this kind of adjustment has to be done by assuming i bias current plus equal to i bias current minus we can make error due to bias current to 0 by selecting the resistor values now for example if i have a gain 25 then i can select this r f and i call this is r,"can make the output code to 0. So, this kind of adjustment has to be done. So, by assuming by assuming as assuming I plus I by as current plus equal to I by as current minus we can we I plus I by as current plus equal to I by as current minus we can we can make error due to error due to by as current to 0 and to 0 by adjust by setting there is a value register values. Now, for example, if I want to have a",can make the output code to 0 so this kind of adjustment has to be done so by assuming by assuming as assuming i plus i by as current plus equal to i by as current minus we can we i plus i by as current plus equal to i by as current minus we can we can make error due to error due to by as current to 0 and to 0 by adjust by setting there is a value register values now for example if i want to have a,0.9077,0.6689,0.75,1.4154
test,Xatxc4IV9UE,50,M,SLOW,EAST,17.32,Engineering,16,base,whisper_norm,gold,"shown it to you. This is here; this is the modified fixed end moment, so we can call",shown it to you this is here this is the modified fixed end moment so we can call,"to you. So, here we are saying that this, so this is here and this is the modified fixed end moment. So, we can call it as fixed end moment.",to you so here we are saying that this so this is here and this is the modified fixed end moment so we can call it as fixed end moment,0.8889,0.7284,0.9375,1.6667
test,ZvsSe5sJGdc,60,M,SLOW,WEST,25.37,Engineering,"General Flow Equations Through Porous Media (Contd.), Dupuit's Assumptions",base,whisper_norm,gold,d by dx of – k dh by dx into h + d by dy of – k into dh by dy into h,d by dx of k dh by dx into h d by dy of k into dh by dy into h,by d x of minus k d h by d x into h plus d by d y of minus k into d h by d y into h into h.,by d x of minus k d h by d x into h plus d by d y of minus k into d h by d y into h into h,0.8571,0.5161,0.6667,1.4762
test,6CwSfoOR7-U,50,M,SLOW,EAST,15.7,Engineering,25,base,whisper_norm,gold,"Therefore, if you look at the sway moments, they turn out to be equal toů.",therefore if you look at the sway moments they turn out to be equal tou,"So, this for therefore, if you look at the sway moments, if you look at the sway moments they turn out to be equal to M.",so this for therefore if you look at the sway moments if you look at the sway moments they turn out to be equal to m,0.8,0.6479,0.9333,1.7333
test,l8kIWLWfbZ8,195,M,FAST,SOUTH,15.83,Engineering,- MESFET : Effects of channel length and gate length on IDS and gm,base,whisper_norm,gold,it is not Vpo it is Vpo cylindrical is equal to q ND amplitude twice epsilon r epsilon,it is not vpo it is vpo cylindrical is equal to q nd amplitude twice epsilon r epsilon,"In fact, it is not v p 0, it is v p 0, so integral is equal to q and d, amplitude. 5 epsilon r epsilon 0.",in fact it is not v p 0 it is v p 0 so integral is equal to q and d amplitude 5 epsilon r epsilon 0,0.7778,0.3605,0.6923,1.5
test,EayOCWaiRkw,277,M,SLOW,SOUTH,27.8,Engineering,Dual Slope ADC and Successor approximation ADC,base,whisper_norm,gold,"Now, that is voltage in C remains constant because it cannot discharge the assuming the bias current is negligible then the voltage",now that is voltage in c remains constant because it cannot discharge the assuming the bias current is negligible then the voltage,"Now, the voltage that is the voltage and C remains constant voltage in C remains constant voltage in C remains constant because it cannot discharge assuming the bias current is negligible. Then, the voltage is negligible.",now the voltage that is the voltage and c remains constant voltage in c remains constant voltage in c remains constant because it cannot discharge assuming the bias current is negligible then the voltage is negligible,0.7273,0.7308,1.0,1.6364
test,VPwq6SN4Zos,236,M,AVG,WEST,23.102,Engineering,5 Parallel Manipulators,base,whisper_norm,gold,"so the these kind of powered that what we had seen more over we noticed that the axes can be parallel or perpendicular to this what we had seen in the last lecture okay, has",so the these kind of powered that what we had seen more over we noticed that the axes can be parallel or perpendicular to this what we had seen in the last lecture okay has,"because these can be powered that is what we had seen. No matter where we notice that the axis can be, axis can be parallel or perpendicular to each other. This is what we had seen. This is what we had seen in the last.",because these can be powered that is what we had seen no matter where we notice that the axis can be axis can be parallel or perpendicular to each other this is what we had seen this is what we had seen in the last,0.7143,0.4477,0.6296,1.2857
test,zk1lXf7Ceiw,176,M,SLOW,SOUTH,1.0,Non-Engineering,Higher Order BVPs,medium,whisper_norm,gold,..,.,can be written as.,can be written as,4.0,17.0,0.0,4.0
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,medium,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,"f which we have seen c times n minus 1 minus 2j sorry this is I made a mistake here j2 is 1 but j2 is 2j2 so this should be counted as 2 into 1 that is 2 and j is 5. So, f is c into 4 minus 2 into 5 which is 2.",f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
test,vf0S_1ZITuA,203,M,SLOW,EAST,32.75,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,medium,whisper_norm,gold,"by 2. So, that it becomes 3 and divided by 2 yes. Now, whether it is plus or minus sign",by 2 so that it becomes 3 and divided by 2 yes now whether it is plus or minus sign,"x by, so it is h square by, so it was 3 factorial and that multiplied by 2, so that it becomes 3 and divided by 2, yes. So, this is the first one, so this is the second one, so",x by so it is h square by so it was 3 factorial and that multiplied by 2 so that it becomes 3 and divided by 2 yes so this is the 1st one so this is the 2nd one so,1.4,1.241,0.6471,2.05
test,Vpoi5W6a3lo,166,M,FAST,SOUTH,17.64,Non-Engineering,Distributions(contd),medium,whisper_norm,gold,"is when the original distribution is normal like we said this distribution of sample means is also normal. But, we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look",is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive permanent. Okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute. So I'd say on average two people arrive at the bus stop. K is that zero right so I'll put I'll substitute K with zero,rate could be something like well 2 people arrive permanent okay so that is 2 and i want to ask the question what is the probability 0 people will arrive over the next minute so i would say on average 2 people arrive at the bus stop k is that 0 right so i will put i will substitute k with 0,1.2292,0.7828,0.1176,1.2917
test,tsdoIka0mEg,175,M,SLOW,NORTH,28.91,Non-Engineering,"Irrational numbers, Dedekind's Theorem",medium,whisper_norm,gold,"R, then alpha belongs to R, R, the number alpha itself, the number alpha itself may",r then alpha belongs to r r the number alpha itself the number alpha itself may,"r, then alpha belongs to R, R the number alpha itself, the number alpha itself may belong to R, R the number alpha itself may belong to R, R the number alpha itself may belong",r then alpha belongs to r r the number alpha itself the number alpha itself may belong to r r the number alpha itself may belong to r r the number alpha itself may belong,1.1875,1.1519,1.0,2.1875
test,EayOCWaiRkw,277,M,SLOW,SOUTH,27.8,Engineering,Dual Slope ADC and Successor approximation ADC,medium,whisper_norm,gold,"Now, that is voltage in C remains constant because it cannot discharge the assuming the bias current is negligible then the voltage",now that is voltage in c remains constant because it cannot discharge the assuming the bias current is negligible then the voltage,"Now, the voltage that is the voltage and C remains constant voltage in C remains constant voltage in C remains constant, because it cannot discharge assuming the bias current is negligible then the voltage in C remains constant, because it cannot discharge assuming",now the voltage that is the voltage and c remains constant voltage in c remains constant voltage in c remains constant because it cannot discharge assuming the bias current is negligible then the voltage in c remains constant because it cannot discharge assuming,1.0455,1.0769,1.0,1.9545
test,-2aOCNaOiLs,222,M,SLOW,SOUTH,4.989,Engineering,Conduction- Cylindrical and Spherical geometries,medium,whisper_norm,gold,considered in problem 45.,considered in problem 45,considered in problem 45. Let us do that.,considered in problem 45 let us do that,1.0,0.625,1.0,2.0
test,lnD212vbPSk,70,M,FAST,SOUTH,26.769,Engineering,Sludge Treatment(Continued),medium,whisper_norm,gold,We will see the advantages of this sludge draining beds for other dewatering processes. The cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,"much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds. Once the sludge is dried how can we remove it? We have to remove the sludge from the sludge drying bed manually. So, it is a labor intensive process and it",much higher compared to the summer and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying beds once the sludge is dried how can we remove it we have to remove the sludge from the sludge drying bed manually so it is a labor intensive process and it,0.9464,0.6909,0.2857,1.1429
test,qx86xQ6UKmU,70,M,FAST,SOUTH,15.29,Engineering,Adsorption,medium,whisper_norm,gold,of the same charge into the solution in a chemically equivalent amount. Once again I will explain. Ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of Bn plus in the solution. So, Rn minus Bn plus resin means activity of Bn plus in the resin and Bn plus 1 S means activity of Bn plus in the solution.",by what is the concentration of bn plus in the solution so rn minus bn plus resin means activity of bn plus in the resin and bn plus ones means activity of bn plus in the solution,0.9362,0.7117,0.1667,0.7872
test,kHeysMOk9h4,82,M,SLOW,NORTH,24.69,Engineering,Parallel Algorithm,medium,whisper_norm,gold,"n cross n, n plus 1 column is nothing but the b has been moved to n plus 1, that is You have A matrix and then you have B vector; instead of putting B here I have put B here",n cross n n +one column is nothing but the b has been moved to n +one that is you have a matrix and then you have b vector instead of putting b here i have put b here,problem generally we work on shared memory model the people are working nowadays on cluster machines. Now the next problem is that we have to tell me how I can do it.,problem generally we work on shared memory model the people are working nowadays on cluster machines now the next problem is that we have to tell me how i can do it,0.9231,0.7831,0.2222,0.8205
test,qBw8ZQrJeys,292,M,SLOW,SOUTH,7.01,Engineering,Level Testing,medium,whisper_norm,gold,"that is also saw it as an input may not be a functional requirements this is a dependent in the message, okay. So next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode.",that is also saw it as an input may not be a functional requirements this is a dependent in the message okay so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,This we will continue in the next class.,this we will continue in the next class,0.9111,0.8656,0.1053,0.1778
test,3vVJkvTsbXQ,88,M,SLOW,NORTH,25.36,Engineering,Open MP&PRAM Model of Computation,medium,whisper_norm,gold,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We'll talk about how it affects our analysis. As many number of processors as you need, which means it is valid for a single processor to machine of even millions of processors. Yes. So one is the amount of resources, how much memory I have, how much local versus shared.",i will not say assumption but it is an abstraction we will talk about how it affects our analysis as many number of processors as you need which means it is valid for a single processor to machine of even 1000000s of processors yes so one is the amount of resources how much memory i have how much local versus shared,0.8857,0.8146,0.9,1.7429
test,4XulH3TfbT0,203,M,SLOW,EAST,52.541,Engineering,Surface Tension Driven Flows (Contd.),medium,whisper_norm,gold,"In short time, s is much much  00:52:22,059 so, 8 pi mu s ds/dt=pi r square H rho g okay. So, s ds/dt=R square H rho g/8 mu.",in short time s is much much 0 52 22059 so 8 pi mu s ds dt pi r square h rho g okay so s ds dt r square h rho g 8 mu,"In short time, s is much much less than h. So short time means s is much much less than h. So the right hand side is approximately pi r square h rho g. So 8 pi mu s ds dt is equal to pi r square h rho g.",in short time s is much much less than h so short time means s is much much less than h so the right hand side is approximately pi r square h rho g so 8 pi mu s ds dt is equal to pi r square h rho g,0.8286,0.9397,0.8095,1.4286
test,OFfJiIhFkJ4,43,M,SLOW,EAST,19.42,Non-Engineering,Determination of Molecular Weight of Polymers (Contd.),medium,whisper_norm,gold,"we know that in gel permeation chromatography there is no interaction between the polymer molecules and the pores or the column there is no interaction between them. So, the value",we know that in gel permeation chromatography there is no interaction between the polymer molecules and the pores or the column there is no interaction between them so the value,"We know that in gel permeation chromatography, there is no interaction between the polymer molecules and the pores or the column, there is no interaction between them. So, del H value of the polymer molecules is equal to del H, del H is equal to del H, del H is equal",we know that in gel permeation chromatography there is no interaction between the polymer molecules and the pores or the column there is no interaction between them so del h value of the polymer molecules is equal to del h del h is equal to del h del h is equal,0.7333,0.4802,1.0,1.7
test,ZvsSe5sJGdc,60,M,SLOW,WEST,25.37,Engineering,"General Flow Equations Through Porous Media (Contd.), Dupuit's Assumptions",medium,whisper_norm,gold,d by dx of – k dh by dx into h + d by dy of – k into dh by dy into h,d by dx of k dh by dx into h d by dy of k into dh by dy into h,d by d x of minus k d h by d x into h plus d by d y of minus k into d h by d y into h.,d by d x of minus k d h by d x into h plus d by d y of minus k into d h by d y into h,0.7143,0.371,0.6667,1.4286
test,sCXbZp08jMA,49,M,FAST,SOUTH,24.12,Engineering,6 Soil Mechanics,medium,whisper_norm,gold,depth z is given by (N dash) into W by V) where Ws is equal to W by V. Unit weight of suspension after elapsing time td can be determined at depth z is (gamma z) is equal to [(gamma w) plus N dash (W by V) into (Gs minus 1) by Gs)]. From this rearranging,depth z is given by into w by v where ws is equal to w by v unit weight of suspension after elapsing time td can be determined at depth z is is equal to from this rearranging,z is given by N dash into W by V where Ws is equal to W by V. So unit weight of the suspension after elapsing time t can be determined at depth z as gamma z is equal to gamma W in plus N dash W by V into Gs minus 1 divided by Gs. So from this the,z is given by n dash into w by v where ws is equal to w by v so unit weight of the suspension after elapsing time t can be determined at depth z as gamma z is equal to gamma w in plus n dash w by v into gs -one divided by gs so from this the,0.6842,0.5345,0.9259,1.5526
test,l8kIWLWfbZ8,195,M,FAST,SOUTH,15.83,Engineering,- MESFET : Effects of channel length and gate length on IDS and gm,medium,whisper_norm,gold,it is not Vpo it is Vpo cylindrical is equal to q ND amplitude twice epsilon r epsilon,it is not vpo it is vpo cylindrical is equal to q nd amplitude twice epsilon r epsilon,"In fact, it is not Vp0, it is Vp0 cylindrical. It is equal to p and d magnitude twice epsilon r epsilon 0.",in fact it is not vp 0 it is vp 0 cylindrical it is equal to p and d magnitude twice epsilon r epsilon 0,0.6667,0.2791,0.6923,1.3889
test,RZQTTfU9TNA,284,M,FAST,SOUTH,29.08,Engineering,Encoders and Decoders,medium,whisper_norm,gold,"normally, this is a practical 3 to 8 decoder, I can give you the IC number if you want to this is 74138, it is not necessary to remember numbers. In fact I am not even sure it’s 128 or 138 but I think it’s 138.",normally this is a practical 3 to 8 decoder i can give you the ic number if you want to this is 74138 it is not necessary to remember numbers in fact i am not even sure it s 128 or 138 but i think it s 138,"This is a practical 3-3 decoder, actually I can give you the IC number if you want to, it is 74138. It does not matter, you do not have to remember numbers, I do not remember numbers, in fact I am not even sure if it is 128 or 138, I think it is 138. Somebody has a book you can have a quick look at it.",this is a practical 3 3 decoder actually i can give you the ic number if you want to it is 74138 it does not matter you do not have to remember numbers i do not remember numbers in fact i am not even sure if it is 128 or 138 i think it is 138 somebody has a book you can have a quick look at it,0.6667,0.6537,0.8571,1.4167
test,nwcOtus_7eo,230,M,SLOW,NORTH,13.909,Engineering,Free Vibration,medium,whisper_norm,gold,"This is k1 and this is y; that means, k1 y is equal to k2 x minus k2y. Therefore, y is",this is k one and this is y that means k one y is equal to k 2 x minus k 2 y therefore y is,"is y. That means k1y is equal to k2x minus y. Therefore, y is equal to k2x minus k2y.",is y that means k one y is equal to k 2 x minus y therefore y is equal to k 2 x minus k 2 y,0.6538,0.5824,0.8571,1.0385
test,U6xmF1EqMEM,178,M,SLOW,EAST,30.0,Non-Engineering,Laws of Probability,medium,whisper_norm,gold,should be= probability of ai*probability of aj* probability of ak i j k must != and so on probability of intersection ai i=1 to n must be= the product of all the probabilities basically these are 2 to the power n-n-1 conditions,should be probability of ai probability of aj probability of ak i j k must and so on probability of intersection ai i one to n must be the product of all the probabilities basically these are 2 to the power n n one conditions,"that should be equal to probability of a i into probability of a j into probability of a k i j k must not be equal and so on. Probability of intersection a i i is equal to 1 to n must be equal to the product of all the probabilities . Basically these are 2 to the power n minus n minus 1 conditions . So, this is the first condition.",that should be equal to probability of a i into probability of a j into probability of a k i j k must not be equal and so on probability of intersection a i i is equal to one to n must be equal to the product of all the probabilities basically these are 2 to the power n minus n -one conditions so this is the 1st condition,0.6444,0.4356,0.8929,1.5333
test,zk1lXf7Ceiw,176,M,SLOW,SOUTH,1.0,Non-Engineering,Higher Order BVPs,large,whisper_norm,gold,..,.,can be written as,can be written as,4.0,17.0,0.0,4.0
test,BvJXc1DQI-0,272,M,AVG,EAST,23.23,Non-Engineering,Special Techniques II,large,whisper_norm,gold,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here. I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with",expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with,"expansion of the numbers. So, let us see how we can work it out. So, this is I got a an expression here I can simply notice that if you pull out this a, a square from there this will go to the numerator and will cancel with I'll just say click circle from there that folks that can not go back or efficient so we can just use this here at the eye and you don't actually go back there directly control So, if a sq has a why is comparison your conclusion for the middle of x are you left or right on x and v Ba My first one, is it is curl curve is the controlling when you look at c c. So, this is using해요ув 의료용 we can let the word queremos",expansion of the numbers so let us see how we can work it out so this is i got a an expression here i can simply notice that if you pull out this a a square from there this will go to the numerator and will cancel with i will just say click circle from there that folks that can not go back or efficient so we can just use this here at the eye and you do not actually go back there directly control so if a sq has a why is comparison your conclusion for the middle of x are you left or right on x and v ba my 1st one is it is curl curve is the controlling when you look at c c so this is using해요ув 의료용 we can let the word queremos,1.8958,1.9174,1.0,2.8958
test,E-r2EDS0uP4,226,M,SLOW,NORTH,29.75,Engineering,Lecture 3 Kinematics of machines,large,whisper_norm,gold,"F which we have seen, 3 times n minus 1 minus 2 j. So F is 3 into 4 minus 2 into 5, which",f which we have seen 3 times n -one -2 j so f is 3 into 4 -2 into 5 which,"f which we have seen, c times n minus 1 minus 2j. Sorry, this is, I made a mistake here, j2 is 1, but j2 is 2j2. So, this should be counted as 2 into 1, that is 2, and j is 5. So, f is c into 4 minus 2 into 5, which is 2.",f which we have seen c times n -one -2 j sorry this is i made a mistake here j 2 is one but j 2 is 2 j 2 so this should be counted as 2 into one that is 2 and j is 5 so f is c into 4 -2 into 5 which is 2,1.8571,1.8082,0.9375,2.7619
